year,team,team_salary,avg_player_salary,median_player_salary,wins,cost_per_win,championship
2018,DET,"$111,286,000 ",4121704,562000,64,1738843.75,no
2018,HOU,"$172,038,900 ",5734630,4300000,103,1670280.58,no
2018,KCR,"$115,483,116 ",3725262,1000000,58,1991088.21,no
2018,LAA,"$171,248,332 ",6342531,2800000,80,2140604.15,no
2018,LAD,"$177,496,785 ",5916560,2100000,92,1929312.88,no
2018,MIA,"$85,843,000 ",2682594,1090000,63,1362587.3,no
2018,MIL,"$91,006,427 ",3250230,1862500,96,947983.61,no
2018,MIN,"$129,560,000 ",4318667,1800000,78,1661025.64,no
2018,NYM,"$183,861,459 ",5931015,3475000,77,2387811.16,no
2018,NYY,"$161,305,917 ",5760926,1206250,100,1613059.17,no
2018,OAK,"$62,652,500 ",2088417,555000,97,645902.06,no
2018,PHI,"$94,354,832 ",3145161,564500,80,1179435.4,no
2018,PIT,"$84,585,833 ",2916753,571000,82,1031534.55,no
2018,SDP,"$73,716,532 ",2377953,566800,66,1116917.15,no
2018,SEA,"$165,303,943 ",5903712,1900000,73,2264437.58,no
2018,SFG,"$207,010,277 ",7138285,2500000,89,2325958.17,no
2018,STL,"$145,166,999 ",5184536,1835000,88,1649624.99,no
2018,TBR,"$69,905,999 ",2589111,720000,90,776733.32,no
2018,TEX,"$129,237,916 ",4038685,1025000,67,1928924.12,no
2018,TOR,"$145,550,771 ",5018992,2600000,73,1993846.18,no
2018,WAS,"$180,193,627 ",6006454,3500000,82,2197483.26,no
2017,ARI,"$78,042,999 ",3121720,1250000,93,839172.03,no
2017,ATL,"$137,339,527 ",4577984,1250000,72,1907493.43,no
